GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
many-to-one,manytoone.websocket,WebSocketConfig,0,7,0,0,0,2,0,2,0,2
many-to-one,manytoone.websocket,WebSocketSpringbootApplication,5,3,0,0,2,1,1,1,1,1
many-to-one,manytoone.websocket,GroupServer,197,28,16,0,46,7,15,2,7,2
many-to-one,manytoone.Bills,BillItem,86,12,0,0,32,5,17,1,17,1
many-to-one,manytoone.Bills,BillItemController,286,3,28,0,65,1,24,1,10,1
many-to-one,manytoone.Bills,Bill,25,44,0,0,10,19,2,12,2,12
many-to-one,manytoone.Bills,BillShareController,134,3,14,0,34,1,8,1,1,1
many-to-one,manytoone.Bills,BillController,127,124,22,6,32,27,14,8,2,6
many-to-one,manytoone.Bills,BillShare,43,6,0,0,17,2,9,1,9,1
many-to-one,manytoone.BillsToGroup,BillToGroup,81,9,4,0,26,4,17,1,15,1
many-to-one,manytoone.BillsToGroup,BillsToGroupController,374,3,44,0,94,1,27,1,5,1
many-to-one,manytoone.Payments,Payment,4,55,0,0,2,23,1,16,1,16
many-to-one,manytoone.Payments,PaymentController,47,176,11,19,14,45,11,10,0,6
many-to-one,manytoone.Groups,GroupInvitation,59,9,2,0,15,4,13,1,12,1
many-to-one,manytoone.Groups,GroupController,159,9,18,0,40,3,15,1,6,1
many-to-one,manytoone.Groups,JoinCodeGenerator,40,0,4,0,9,0,6,0,4,0
many-to-one,manytoone.Groups,UserGroup,84,3,4,0,29,1,18,1,16,1
many-to-one,manytoone.Groups,Group,42,29,0,0,16,11,5,8,5,8
many-to-one,manytoone.Groups,UserGroup.Role,0,15,0,0,0,3,0,1,0,1
many-to-one,manytoone.Groups,GroupInvitationController,262,9,36,0,60,3,26,1,8,1
many-to-one,manytoone.Groups,UserGroupController,599,3,64,0,145,1,49,1,17,1
many-to-one,manytoone.Groups,GroupInvitation.invitationStatus,0,21,0,0,0,4,0,1,0,1
many-to-one,manytoone.Users,UserController,162,9,16,0,41,3,14,1,6,1
many-to-one,manytoone.Users,User,27,74,0,0,13,28,7,15,7,15
many-to-one,manytoone.Users,LoginRequest,17,0,0,0,7,0,5,0,5,0
many-to-one,manytoone.Users,UserSearchResponse,21,0,0,0,8,0,4,0,4,0
many-to-one,manytoone.Conversations,Conversation,59,9,0,0,22,4,12,1,12,1
many-to-one,manytoone.Conversations,ConversationController,81,9,8,0,19,4,8,1,4,1
many-to-one,manytoone.Refunds,RefundsReimbursement,3,0,0,0,1,0,1,0,1,0
many-to-one,manytoone.Refunds,RefundController,46,166,13,15,18,38,13,7,0,6
many-to-one,manytoone.Refunds,Refund,9,48,1,1,4,16,3,12,2,12
many-to-one,manytoone.Messages,MessageAttachmentController,25,9,2,0,6,4,3,1,2,1
many-to-one,manytoone.Messages,Message,49,6,0,0,19,3,10,1,10,1
many-to-one,manytoone.Messages,MessageController,283,18,34,0,65,7,26,1,9,1
many-to-one,manytoone.Messages,MessageAttachment,28,3,0,0,12,1,8,1,8,1
many-to-one,manytoone.Messages,MessageRead,39,6,0,0,15,3,8,1,8,1
many-to-one,manytoone.Messages,MessageRequest,24,0,0,0,10,0,7,0,7,0
many-to-one,manytoone.Notifications,Notification.NotificationType,0,111,0,0,0,19,0,1,0,1
many-to-one,manytoone.Notifications,NotificationController,563,3,70,0,121,1,54,1,19,1
many-to-one,manytoone.Notifications,NotificationWebSocket,198,12,12,0,43,3,11,2,5,2
many-to-one,manytoone.Notifications,Notification,164,11,8,0,58,5,36,1,32,1
many-to-one,manytoone.Notifications,NotificationService,930,3,30,0,183,1,33,1,18,1
many-to-one,manytoone,Main,16,31,1,1,5,9,2,3,1,3
